data,valor
2016-03-01,243.4
2016-04-01,217.8
2016-05-01,227.5
2016-06-01,258.7
2016-07-01,242.1
2016-08-01,255.1
2016-09-01,241.0
2016-10-01,231.2
2016-11-01,230.1
2016-12-01,227.8
2017-01-01,243.2
2017-02-01,222.3
2017-03-01,272.3
2017-04-01,228.0
2017-05-01,256.6
2017-06-01,268.1
2017-07-01,264.1
2017-08-01,292.3
2017-09-01,280.7
2017-10-01,285.9
2017-11-01,274.3
2017-12-01,265.4
2018-01-01,294.5
2018-02-01,258.4
2018-03-01,288.6
2018-04-01,285.0
2018-05-01,275.9
2018-06-01,294.5
2018-07-01,342.2
2018-08-01,380.6
2018-09-01,293.8
2018-10-01,329.3
2018-11-01,304.1
2018-12-01,279.0
2019-01-01,336.7
2019-02-01,264.3
2019-03-01,278.7
2019-04-01,286.1
2019-05-01,310.6
2019-06-01,274.9
2019-07-01,353.5
2019-08-01,346.5
2019-09-01,300.3
2019-10-01,334.3
2019-11-01,290.3
2019-12-01,260.9
2020-01-01,335.3
2020-02-01,271.2
2020-03-01,279.6
2020-04-01,243.5
2020-05-01,226.5
2020-06-01,221.0
2020-07-01,240.8
2020-08-01,236.0
2020-09-01,259.7
2020-10-01,264.3
2020-11-01,290.7
2020-12-01,305.1
2021-01-01,304.6
2021-02-01,290.8
2021-03-01,345.8
2021-04-01,311.1
2021-05-01,335.8
2021-06-01,340.6
2021-07-01,347.0
2021-08-01,370.7
2021-09-01,382.0
2021-10-01,392.2
2021-11-01,416.6
2021-12-01,394.9
2022-01-01,377.7
2022-02-01,359.3
2022-03-01,413.5
2022-04-01,393.6
2022-05-01,465.7
2022-06-01,449.7
2022-07-01,461.1
2022-08-01,505.7
2022-09-01,471.9
2022-10-01,446.6
2022-11-01,418.0
2022-12-01,419.0
2023-01-01,390.8
2023-02-01,336.4
2023-03-01,418.8
2023-04-01,364.7
2023-05-01,415.1
2023-06-01,375.2
2023-07-01,385.4
2023-08-01,413.5
2023-09-01,377.2
2023-10-01,395.1
2023-11-01,368.3
2023-12-01,374.6
2024-01-01,395.1
2024-02-01,351.4
2024-03-01,397.8
2024-04-01,417.6
2024-05-01,419.2
2024-06-01,427.0
2024-07-01,442.6
2024-08-01,462.9
2024-09-01,444.8
2024-10-01,478.6
2024-11-01,405.0
2024-12-01,389.8
2025-01-01,441.6
2025-02-01,439.2
2025-03-01,404.6
2025-04-01,427.9
